model_id,scenario,role,channel,reference_threshold,target_fpr,cutoff,validation_recall,validation_fpr,validation_precision
m2_random_forest,state_group,validation,kMc,0.8,0.01,0.7829999999999997,0.9819121447028424,0.007122507122507123,0.9743589743589743
m2_random_forest,state_group,validation,kMc,0.8,0.05,0.7537333333333323,0.9922480620155039,0.04700854700854701,0.8533333333333334
m2_random_forest,state_group,validation,kMt,0.8,0.01,0.7689333333333341,0.9745370370370371,0.008094186902133923,0.9745370370370371
m2_random_forest,state_group,validation,kMt,0.8,0.05,0.7317333333333347,0.9884259259259259,0.046357615894039736,0.8714285714285714
m2_random_forest,state_group,validation,any,0.8,0.01,0.7852000000000008,0.9743589743589743,0.0073461891643709825,0.9884393063583815
m2_random_forest,state_group,validation,any,0.8,0.05,0.7585333333333326,0.9871794871794872,0.049586776859504134,0.927710843373494
m3_linear_residual_mlp,state_group,validation,kMc,0.8,0.01,0.7844581008608935,1.0,0.0007122507122507123,0.9974226804123711
m3_linear_residual_mlp,state_group,validation,kMc,0.8,0.05,0.7844581008608935,1.0,0.0007122507122507123,0.9974226804123711
m3_linear_residual_mlp,state_group,validation,kMt,0.8,0.01,0.7790963233880215,1.0,0.0,1.0
m3_linear_residual_mlp,state_group,validation,kMt,0.8,0.05,0.7790963233880215,1.0,0.0,1.0
m3_linear_residual_mlp,state_group,validation,any,0.8,0.01,0.7805060513040012,0.9985754985754985,0.009182736455463728,0.9859353023909986
m3_linear_residual_mlp,state_group,validation,any,0.8,0.05,0.7790963233880215,1.0,0.017447199265381085,0.9736477115117892
