model_id,scenario,role,channel,policy,target_fpr,sample_count,positive_count,negative_count,predicted_positive_count,tp,fp,tn,fn,reference_threshold,decision_threshold,precision,recall,f1,fpr,miss_rate,pr_auc,reference_prevalence,metric_valid,unavailable_reason
m2_random_forest,compressor_holdout,test,any,nominal_threshold,,1170,1170,0,139,139,0,0,1031,0.8,0.8,,0.1188034188034188,,,0.8811965811965812,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,compressor_holdout,test,any,nominal_threshold,,1170,1170,0,1170,1170,0,0,0,0.8,0.8,,1.0,,,0.0,,1.0,False,single_class_all_positive
m2_random_forest,compressor_holdout,test,kMc,nominal_threshold,,1170,1170,0,0,0,0,0,1170,0.8,0.8,,0.0,,,1.0,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,compressor_holdout,test,kMc,nominal_threshold,,1170,1170,0,1170,1170,0,0,0,0.8,0.8,,1.0,,,0.0,,1.0,False,single_class_all_positive
m2_random_forest,compressor_holdout,test,kMt,nominal_threshold,,1170,270,900,139,139,0,900,131,0.8,0.8,1.0,0.5148148148148148,0.6797066014669927,0.0,0.48518518518518516,0.8758546196116488,0.23076923076923078,True,
m3_linear_residual_mlp,compressor_holdout,test,kMt,nominal_threshold,,1170,270,900,238,238,0,900,32,0.8,0.8,1.0,0.8814814814814815,0.937007874015748,0.0,0.11851851851851852,0.9991603861429386,0.23076923076923078,True,
m2_random_forest,random_row,test,any,nominal_threshold,,1790,689,1101,642,641,1,1100,48,0.8,0.8,0.9984423676012462,0.93033381712627,0.9631855747558228,0.0009082652134423251,0.06966618287373004,0.9969557454722009,0.38491620111731845,True,
m3_linear_residual_mlp,random_row,test,any,nominal_threshold,,1790,689,1101,651,651,0,1101,38,0.8,0.8,1.0,0.9448476052249637,0.9716417910447761,0.0,0.055152394775036286,0.9999999999999999,0.38491620111731845,True,
m2_random_forest,random_row,test,kMc,nominal_threshold,,1790,370,1420,357,357,0,1420,13,0.8,0.8,1.0,0.9648648648648649,0.9821182943603851,0.0,0.03513513513513514,0.9993834732986389,0.20670391061452514,True,
m3_linear_residual_mlp,random_row,test,kMc,nominal_threshold,,1790,370,1420,357,357,0,1420,13,0.8,0.8,1.0,0.9648648648648649,0.9821182943603851,0.0,0.03513513513513514,0.9999999999999999,0.20670391061452514,True,
m2_random_forest,random_row,test,kMt,nominal_threshold,,1790,412,1378,364,363,1,1377,49,0.8,0.8,0.9972527472527473,0.8810679611650486,0.9355670103092784,0.000725689404934688,0.11893203883495146,0.9926208201960296,0.23016759776536314,True,
m3_linear_residual_mlp,random_row,test,kMt,nominal_threshold,,1790,412,1378,382,382,0,1378,30,0.8,0.8,1.0,0.9271844660194175,0.9622166246851386,0.0,0.07281553398058252,1.0,0.23016759776536314,True,
m2_random_forest,state_group,test,any,nominal_threshold,,1791,702,1089,650,649,1,1088,53,0.8,0.8,0.9984615384615385,0.9245014245014245,0.9600591715976332,0.0009182736455463728,0.0754985754985755,0.9982522806672804,0.39195979899497485,True,
m3_linear_residual_mlp,state_group,test,any,nominal_threshold,,1791,702,1089,671,671,0,1089,31,0.8,0.8,1.0,0.9558404558404558,0.9774217042971595,0.0,0.04415954415954416,0.9999472406879815,0.39195979899497485,True,
m2_random_forest,state_group,test,kMc,nominal_threshold,,1791,432,1359,408,408,0,1359,24,0.8,0.8,1.0,0.9444444444444444,0.9714285714285714,0.0,0.05555555555555555,0.999757421416355,0.24120603015075376,True,
m3_linear_residual_mlp,state_group,test,kMc,nominal_threshold,,1791,432,1359,416,416,0,1359,16,0.8,0.8,1.0,0.9629629629629629,0.9811320754716981,0.0,0.037037037037037035,1.0,0.24120603015075376,True,
m2_random_forest,state_group,test,kMt,nominal_threshold,,1791,324,1467,290,289,1,1466,35,0.8,0.8,0.996551724137931,0.8919753086419753,0.9413680781758959,0.0006816632583503749,0.10802469135802469,0.993955546998803,0.18090452261306533,True,
m3_linear_residual_mlp,state_group,test,kMt,nominal_threshold,,1791,324,1467,306,306,0,1467,18,0.8,0.8,1.0,0.9444444444444444,0.9714285714285714,0.0,0.05555555555555555,0.9999810649094903,0.18090452261306533,True,
m2_random_forest,turbine_holdout,test,any,nominal_threshold,,2295,2295,0,264,264,0,0,2031,0.8,0.8,,0.11503267973856209,,,0.8849673202614379,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,turbine_holdout,test,any,nominal_threshold,,2295,2295,0,2188,2188,0,0,107,0.8,0.8,,0.9533769063180828,,,0.046623093681917215,,1.0,False,single_class_all_positive
m2_random_forest,turbine_holdout,test,kMc,nominal_threshold,,2295,495,1800,264,264,0,1800,231,0.8,0.8,1.0,0.5333333333333333,0.6956521739130436,0.0,0.4666666666666667,0.9343598842775832,0.21568627450980393,True,
m3_linear_residual_mlp,turbine_holdout,test,kMc,nominal_threshold,,2295,495,1800,404,404,0,1800,91,0.8,0.8,1.0,0.8161616161616162,0.8987764182424918,0.0,0.18383838383838383,0.9947036611812134,0.21568627450980393,True,
m2_random_forest,turbine_holdout,test,kMt,nominal_threshold,,2295,2295,0,0,0,0,0,2295,0.8,0.8,,0.0,,,1.0,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,turbine_holdout,test,kMt,nominal_threshold,,2295,2295,0,2138,2138,0,0,157,0.8,0.8,,0.9315904139433551,,,0.06840958605664488,,1.0,False,single_class_all_positive
