scenario,channel,tp_m2,fp_m2,tn_m2,fn_m2,precision_m2,recall_m2,f1_m2,fpr_m2,miss_rate_m2,pr_auc_m2,reference_prevalence_m2,metric_valid_m2,unavailable_reason_m2,tp_m3,fp_m3,tn_m3,fn_m3,precision_m3,recall_m3,f1_m3,fpr_m3,miss_rate_m3,pr_auc_m3,reference_prevalence_m3,metric_valid_m3,unavailable_reason_m3,recall_delta_m3_minus_m2,f1_delta_m3_minus_m2,fpr_delta_m3_minus_m2,miss_rate_delta_m3_minus_m2,pr_auc_delta_m3_minus_m2
compressor_holdout,any,139,0,0,1031,,0.1188034188034188,,,0.8811965811965812,,1.0,False,single_class_all_positive,1170,0,0,0,,1.0,,,0.0,,1.0,False,single_class_all_positive,0.8811965811965812,,,-0.8811965811965812,
compressor_holdout,kMc,0,0,0,1170,,0.0,,,1.0,,1.0,False,single_class_all_positive,1170,0,0,0,,1.0,,,0.0,,1.0,False,single_class_all_positive,1.0,,,-1.0,
compressor_holdout,kMt,139,0,900,131,1.0,0.5148148148148148,0.6797066014669927,0.0,0.48518518518518516,0.8758546196116488,0.23076923076923078,True,,238,0,900,32,1.0,0.8814814814814815,0.937007874015748,0.0,0.11851851851851852,0.9991603861429386,0.23076923076923078,True,,0.3666666666666667,0.25730127254875534,0.0,-0.36666666666666664,0.12330576653128977
random_row,any,641,1,1100,48,0.9984423676012462,0.93033381712627,0.9631855747558228,0.0009082652134423251,0.06966618287373004,0.9969557454722009,0.38491620111731845,True,,651,0,1101,38,1.0,0.9448476052249637,0.9716417910447761,0.0,0.055152394775036286,0.9999999999999999,0.38491620111731845,True,,0.014513788098693747,0.008456216288953322,-0.0009082652134423251,-0.014513788098693754,0.003044254527798995
random_row,kMc,357,0,1420,13,1.0,0.9648648648648649,0.9821182943603851,0.0,0.03513513513513514,0.9993834732986389,0.20670391061452514,True,,357,0,1420,13,1.0,0.9648648648648649,0.9821182943603851,0.0,0.03513513513513514,0.9999999999999999,0.20670391061452514,True,,0.0,0.0,0.0,0.0,0.0006165267013610309
random_row,kMt,363,1,1377,49,0.9972527472527473,0.8810679611650486,0.9355670103092784,0.000725689404934688,0.11893203883495146,0.9926208201960296,0.23016759776536314,True,,382,0,1378,30,1.0,0.9271844660194175,0.9622166246851386,0.0,0.07281553398058252,1.0,0.23016759776536314,True,,0.04611650485436891,0.02664961437586022,-0.000725689404934688,-0.04611650485436894,0.007379179803970404
state_group,any,649,1,1088,53,0.9984615384615385,0.9245014245014245,0.9600591715976332,0.0009182736455463728,0.0754985754985755,0.9982522806672804,0.39195979899497485,True,,671,0,1089,31,1.0,0.9558404558404558,0.9774217042971595,0.0,0.04415954415954416,0.9999472406879815,0.39195979899497485,True,,0.031339031339031376,0.017362532699526256,-0.0009182736455463728,-0.03133903133903134,0.0016949600207010196
state_group,kMc,408,0,1359,24,1.0,0.9444444444444444,0.9714285714285714,0.0,0.05555555555555555,0.999757421416355,0.24120603015075376,True,,416,0,1359,16,1.0,0.9629629629629629,0.9811320754716981,0.0,0.037037037037037035,1.0,0.24120603015075376,True,,0.01851851851851849,0.009703504043126698,0.0,-0.018518518518518517,0.000242578583644959
state_group,kMt,289,1,1466,35,0.996551724137931,0.8919753086419753,0.9413680781758959,0.0006816632583503749,0.10802469135802469,0.993955546998803,0.18090452261306533,True,,306,0,1467,18,1.0,0.9444444444444444,0.9714285714285714,0.0,0.05555555555555555,0.9999810649094903,0.18090452261306533,True,,0.05246913580246915,0.03006049325267557,-0.0006816632583503749,-0.05246913580246913,0.006025517910687395
turbine_holdout,any,264,0,0,2031,,0.11503267973856209,,,0.8849673202614379,,1.0,False,single_class_all_positive,2188,0,0,107,,0.9533769063180828,,,0.046623093681917215,,1.0,False,single_class_all_positive,0.8383442265795207,,,-0.8383442265795207,
turbine_holdout,kMc,264,0,1800,231,1.0,0.5333333333333333,0.6956521739130436,0.0,0.4666666666666667,0.9343598842775832,0.21568627450980393,True,,404,0,1800,91,1.0,0.8161616161616162,0.8987764182424918,0.0,0.18383838383838383,0.9947036611812134,0.21568627450980393,True,,0.2828282828282829,0.2031242443294482,0.0,-0.2828282828282829,0.06034377690363024
turbine_holdout,kMt,0,0,0,2295,,0.0,,,1.0,,1.0,False,single_class_all_positive,2138,0,0,157,,0.9315904139433551,,,0.06840958605664488,,1.0,False,single_class_all_positive,0.9315904139433551,,,-0.9315904139433551,
