model_id,scenario,role,channel,policy,target_fpr,sample_count,positive_count,negative_count,predicted_positive_count,tp,fp,tn,fn,reference_threshold,decision_threshold,precision,recall,f1,fpr,miss_rate,pr_auc,reference_prevalence,metric_valid,unavailable_reason
m2_random_forest,state_group,validation,kMc,nominal_threshold,,1791,945,846,923,922,1,845,23,0.5,0.5,0.9989165763813651,0.9756613756613757,0.987152034261242,0.001182033096926714,0.02433862433862434,0.999356637017801,0.5276381909547738,True,
m2_random_forest,state_group,validation,kMt,nominal_threshold,,1791,918,873,908,908,0,873,10,0.5,0.5,1.0,0.9891067538126361,0.9945235487404162,0.0,0.010893246187363835,0.9998214658242139,0.5125628140703518,True,
m2_random_forest,state_group,validation,any,nominal_threshold,,1791,1359,432,1338,1337,1,431,22,0.5,0.5,0.9992526158445441,0.9838116261957321,0.9914720059325176,0.0023148148148148147,0.016188373804267846,0.9998284210423621,0.7587939698492462,True,
m2_random_forest,state_group,validation,kMc,nominal_threshold,,1791,765,1026,747,747,0,1026,18,0.6,0.6,1.0,0.9764705882352941,0.988095238095238,0.0,0.023529411764705882,0.9994262705875627,0.4271356783919598,True,
m2_random_forest,state_group,validation,kMt,nominal_threshold,,1791,729,1062,698,698,0,1062,31,0.6,0.6,1.0,0.9574759945130316,0.9782761037140855,0.0,0.04252400548696845,0.9989012580695116,0.40703517587939697,True,
m2_random_forest,state_group,validation,any,nominal_threshold,,1791,1152,639,1122,1122,0,639,30,0.6,0.6,1.0,0.9739583333333334,0.9868073878627968,0.0,0.026041666666666668,0.999725595479364,0.6432160804020101,True,
m2_random_forest,state_group,validation,kMc,nominal_threshold,,1791,567,1224,544,543,1,1223,24,0.7,0.7,0.9981617647058824,0.9576719576719577,0.9774977497749776,0.0008169934640522876,0.042328042328042326,0.9991223371373531,0.3165829145728643,True,
m2_random_forest,state_group,validation,kMt,nominal_threshold,,1791,567,1224,552,551,1,1223,16,0.7,0.7,0.9981884057971014,0.9717813051146384,0.9848078641644324,0.0008169934640522876,0.02821869488536155,0.9975044636533591,0.3165829145728643,True,
m2_random_forest,state_group,validation,any,nominal_threshold,,1791,909,882,879,878,1,881,31,0.7,0.7,0.9988623435722411,0.9658965896589659,0.9821029082774049,0.0011337868480725624,0.034103410341034104,0.9988675470505238,0.507537688442211,True,
m2_random_forest,state_group,validation,kMc,nominal_threshold,,1791,387,1404,349,348,1,1403,39,0.8,0.8,0.997134670487106,0.8992248062015504,0.9456521739130435,0.0007122507122507123,0.10077519379844961,0.9962956658088125,0.21608040201005024,True,
