variable,count,unique,mean,std,min,25%,50%,75%,max
lp,11934,9,5.166666667,2.626387719,1.138,3.144,5.14,7.148,9.3
v,11934,9,15,7.746291246,3,9,15,21,27
GTT,11934,11430,27247.49869,22148.61315,253.547,8375.88375,21630.659,39001.42675,72784.872
GTn,11934,3888,2136.289256,774.0838813,1307.675,1386.758,1924.326,2678.079,3560.741
GGn,11934,11834,8200.947312,1091.315507,6589.002,7058.324,8482.0815,9132.606,9797.103
Ts,11934,4286,227.3357682,200.4958893,5.304,60.317,175.268,332.36475,645.249
Tp,11934,4286,227.3357682,200.4958893,5.304,60.317,175.268,332.36475,645.249
T48,11934,11772,735.4954461,173.6805522,442.364,589.87275,706.038,834.06625,1115.797
T1,11934,1,288,0,288,288,288,288,288
T2,11934,11506,646.2153311,72.67588194,540.442,578.09225,637.1415,693.9245,789.094
P48,11934,524,2.352962795,1.084769997,1.093,1.389,2.083,2.981,4.56
P1,11934,1,0.998,0,0.998,0.998,0.998,0.998,0.998
P2,11934,4209,12.29712326,5.337448309,5.828,7.44725,11.092,15.658,23.14
Pexh,11934,19,1.02947394,0.01039031853,1.019,1.02,1.026,1.036,1.052
TIC,11934,8496,33.64126085,25.84136297,0,13.6775,25.2765,44.5525,92.556
mf,11934,696,0.6624396682,0.5071316473,0.068,0.246,0.496,0.882,1.832
kMc,11934,51,0.975,0.01472021819,0.95,0.962,0.975,0.988,1
kMt,11934,26,0.9875,0.007500314248,0.975,0.981,0.9875,0.994,1
