variable,v,GTT,GTn,GGn,Ts,T48,T2,P48,P2,Pexh,TIC,mf,kMc,kMt
v,1,0.9583728275,0.9603896962,0.9866006986,0.9563668885,0.959314459,0.9812457481,0.9606917937,0.9670446674,0.9508083567,0.9106808627,0.9281009263,1.394625238e-15,-1.327110731e-17
GTT,0.9583728275,1,0.9897175413,0.9330689619,0.9991899633,0.9910851001,0.990190344,0.9988981967,0.9975705822,0.9960433901,0.9781466363,0.9951006904,0.002921155623,-0.000137326708
GTn,0.9603896962,0.9897175413,1,0.9430097729,0.9886221425,0.97958869,0.9891906223,0.9950977817,0.9960075118,0.9939970213,0.962677438,0.9802767882,0.001346171371,-4.347280922e-05
GGn,0.9866006986,0.9330689619,0.9430097729,1,0.9295679229,0.9400804469,0.9666972806,0.9374947708,0.9459512617,0.9241984274,0.8796483486,0.897163816,-0.01917297652,0.01050134376
Ts,0.9563668885,0.9991899633,0.9886221425,0.9295679229,1,0.9859705986,0.9873114553,0.9980208148,0.9961618696,0.996242183,0.9778324983,0.9944409213,0.0007171957124,8.520588372e-05
T48,0.959314459,0.9910851001,0.97958869,0.9400804469,0.9859705986,1,0.9924044038,0.9893347694,0.9904606139,0.9799728878,0.9696880146,0.9862328423,-0.03978905451,-0.04091516848
T2,0.9812457481,0.990190344,0.9891906223,0.9666972806,0.9873114553,0.9924044038,1,0.9916437879,0.9943126178,0.983346099,0.9589782237,0.9764845834,-0.04756933243,-0.01744936201
P48,0.9606917937,0.9988981967,0.9950977817,0.9374947708,0.9980208148,0.9893347694,0.9916437879,1,0.9993915493,0.9979356668,0.9759982285,0.9927599711,0.00823010996,-0.003211630833
P2,0.9670446674,0.9975705822,0.9960075118,0.9459512617,0.9961618696,0.9904606139,0.9943126178,0.9993915493,1,0.9963066193,0.9724079857,0.9893033905,0.008561554607,-0.01931286033
Pexh,0.9508083567,0.9960433901,0.9939970213,0.9241984274,0.996242183,0.9799728878,0.983346099,0.9979356668,0.9963066193,1,0.9745126619,0.9910131835,0.0351840514,0.01181703132
TIC,0.9106808627,0.9781466363,0.962677438,0.8796483486,0.9778324983,0.9696880146,0.9589782237,0.9759982285,0.9724079857,0.9745126619,1,0.9857262211,-0.03139944765,-0.01930958668
mf,0.9281009263,0.9951006904,0.9802767882,0.897163816,0.9944409213,0.9862328423,0.9764845834,0.9927599711,0.9893033905,0.9910131835,0.9857262211,1,-0.01368345236,-0.01841938089
kMc,1.394625238e-15,0.002921155623,0.001346171371,-0.01917297652,0.0007171957124,-0.03978905451,-0.04756933243,0.00823010996,0.008561554607,0.0351840514,-0.03139944765,-0.01368345236,1,-0.01117020357
kMt,-1.327110731e-17,-0.000137326708,-4.347280922e-05,0.01050134376,8.520588372e-05,-0.04091516848,-0.01744936201,-0.003211630833,-0.01931286033,0.01181703132,-0.01930958668,-0.01841938089,-0.01117020357,1
