speed_knots,feature,target,correlation
3,GTT,kMc,0.06876735113
3,GTT,kMt,-0.1075538869
3,GTn,kMc,0.07650331001
3,GTn,kMt,-0.04023787508
3,GGn,kMc,-0.739398183
3,GGn,kMt,0.4441576659
3,Ts,kMc,0.04118082239
3,Ts,kMt,-0.04927257792
3,T48,kMc,-0.02948009653
3,T48,kMt,-0.2031227375
3,T2,kMc,-0.2129264953
3,T2,kMt,-0.2374938937
3,P48,kMc,0.1086990874
3,P48,kMt,-0.130085401
3,P2,kMc,0.09945709037
3,P2,kMt,-0.2370484615
3,Pexh,kMc,
3,Pexh,kMt,
3,TIC,kMc,-0.05053859159
3,TIC,kMt,-0.03378921465
3,mf,kMc,0.002395954618
3,mf,kMt,-0.1632187257
6,GTT,kMc,0.3276411517
6,GTT,kMt,0.1257165208
6,GTn,kMc,0.4035986231
6,GTn,kMt,0.04564668923
6,GGn,kMc,-0.7848538746
6,GGn,kMt,0.5590691396
6,Ts,kMc,0.4019076992
6,Ts,kMt,0.0475487423
6,T48,kMc,0.1059439054
6,T48,kMt,-0.02967118765
6,T2,kMc,-0.1998839868
6,T2,kMt,-0.06822114673
6,P48,kMc,0.3812046748
6,P48,kMt,0.1165831484
6,P2,kMc,0.3604173342
6,P2,kMt,-0.06295552352
6,Pexh,kMc,0.6346440111
6,Pexh,kMt,0.3127256383
6,TIC,kMc,-0.362206542
6,TIC,kMt,-0.04703569056
6,mf,kMc,0.1272004714
6,mf,kMt,0.02557887441
9,GTT,kMc,-0.9174504556
9,GTT,kMt,0.4076182724
9,GTn,kMc,-0.9069569145
9,GTn,kMt,0.412038148
9,GGn,kMc,-0.8630514603
9,GGn,kMt,0.5145896183
9,Ts,kMc,-0.8882416945
9,Ts,kMt,0.4416838642
9,T48,kMc,-0.7289189589
9,T48,kMt,-0.6763037092
9,T2,kMc,-0.9423604002
9,T2,kMt,-0.3238792281
9,P48,kMc,0.869259673
9,P48,kMt,-0.4808786546
9,P2,kMc,0.133566565
9,P2,kMt,-0.9924284915
9,Pexh,kMc,0.5679797944
9,Pexh,kMt,0.4159575413
9,TIC,kMc,-0.6874902112
9,TIC,kMt,-0.7184389928
9,mf,kMc,-0.6882656038
9,mf,kMt,-0.7166148615
12,GTT,kMc,-0.9675800364
12,GTT,kMt,0.2617181939
12,GTn,kMc,-0.865768609
12,GTn,kMt,0.5086336563
12,GGn,kMc,-0.910245934
12,GGn,kMt,0.4239975569
12,Ts,kMc,-0.9084892138
12,Ts,kMt,0.3087213624
12,T48,kMc,-0.7042310985
12,T48,kMt,-0.7019753095
12,T2,kMc,-0.9328989469
12,T2,kMt,-0.3495613822
12,P48,kMc,0.8844138565
12,P48,kMt,-0.4687784254
12,P2,kMc,0.2091719246
12,P2,kMt,-0.9801193086
12,Pexh,kMc,0.7485385616
12,Pexh,kMt,0.3524918661
12,TIC,kMc,-0.6341160803
12,TIC,kMt,-0.7660790319
12,mf,kMc,-0.6326448078
12,mf,kMt,-0.7665235017
15,GTT,kMc,-0.9630203283
15,GTT,kMt,0.2790974258
15,GTn,kMc,-0.2875050797
15,GTn,kMt,0.9565296845
15,GGn,kMc,-0.8972141305
15,GGn,kMt,0.4514419553
15,Ts,kMc,-0.8095636743
15,Ts,kMt,0.3587672647
15,T48,kMc,-0.7180255977
15,T48,kMt,-0.6878577855
15,T2,kMc,-0.9340905978
15,T2,kMt,-0.3464283915
15,P48,kMc,0.9102377163
15,P48,kMt,-0.4205128462
15,P2,kMc,0.2606507186
15,P2,kMt,-0.9682544687
15,Pexh,kMc,0.666803167
15,Pexh,kMt,0.3508490372
15,TIC,kMc,-0.6300614126
15,TIC,kMt,-0.7694294127
15,mf,kMc,-0.6302761675
15,mf,kMt,-0.7688056671
18,GTT,kMc,-0.8372364478
18,GTT,kMt,0.3648032933
18,GTn,kMc,-0.7437715127
18,GTn,kMt,0.1804342975
18,GGn,kMc,-0.8951473277
18,GGn,kMt,0.4554424624
18,Ts,kMc,-0.7942041393
18,Ts,kMt,0.3594657689
18,T48,kMc,-0.6716235929
18,T48,kMt,-0.7332493972
18,T2,kMc,-0.9040535383
18,T2,kMt,-0.417146052
18,P48,kMc,0.9114962995
18,P48,kMt,-0.416116997
18,P2,kMc,0.2578270485
18,P2,kMt,-0.9688873768
18,Pexh,kMc,0.6815314545
